Bussiness Id,Positive Words,P_Word_Count,Negative words,N_Word_Count,Stars
1ovFbjcn13ovvMC94F2e7g,"cool , useful, funny",3,Absence,1,4
1ovFbjcn13ovvMC94F2e7g,"supermacy, good",2,,0,3
1ovFbjcn13ovvMC94F2e7g,,0,"Gamble, Asshole, Comp",3,1
1ovFbjcn13ovvMC94F2e7g,"super, sweet, right",3,"Wait, Negative, ugh",3,3
1ovFbjcn13ovvMC94F2e7g,comfortable,1,,0,4
1ovFbjcn13ovvMC94F2e7g,"Loved, Great, Decent, Conveniently",4,,0,5
1ovFbjcn13ovvMC94F2e7g,"Timing, Available",2,Cost,1,3
1JiGtnWQYFcsactL_c3wCw,"Amazing, Clean",2,,0,5
1JiGtnWQYFcsactL_c3wCw,"Special, Amazing",2,,0,5
1JiGtnWQYFcsactL_c3wCw,"Reasonable, Great, Looks",3,,0,5
1JiGtnWQYFcsactL_c3wCw,,0,"Objectionable, Lonely,Lonesome",3,1
5paJ02eNpdJOX8TffqdzYg,"Sweet, More,  Quality",3,,0,4
5paJ02eNpdJOX8TffqdzYg,,0,Closed,1,1
5paJ02eNpdJOX8TffqdzYg,"Greets, Smiles, Neat, Sweet",4,"Secret, Fed",2,3
5paJ02eNpdJOX8TffqdzYg,"Enjoy, Yummy",2,,0,4
5paJ02eNpdJOX8TffqdzYg,"Super, Light, Support",3,,0,5
AUScPrjj1sEjVZeZeWxFvg,"Wonderful, Synergist, Truth",3,,0,5
AUScPrjj1sEjVZeZeWxFvg,"Deportment, Satisfy",2,High price,1,3
AUScPrjj1sEjVZeZeWxFvg,"Cool, Good",2,,0,5
AUScPrjj1sEjVZeZeWxFvg,,0,"Alcoholism, Adverse",2,1
BLEahNnfVfSj6g8efxyWAw,"Good, Variety, Impressed",3,Horrendous,1,4
BLEahNnfVfSj6g8efxyWAw,,0,"Contaminated,Tempt",2,1
BLEahNnfVfSj6g8efxyWAw,"Love, Flavourful, Homemade",3,Secondhand,1,4
BLEahNnfVfSj6g8efxyWAw,"Intelectual, Laughter",2,,0,5
HlfeTND7PATNVduJ_35lA,"Legendary, Legibility, Smile",3,"Horrible, Suspicion",2,3
HlfeTND7PATNVduJ_35lA,,0,"Hinder, Less, Intervene",3,1
HlfeTND7PATNVduJ_35lA,Love,1,"Shitstorm, Irrelevant, Deceive",3,2
HlfeTND7PATNVduJ_35lA,"Level, Effective, Bless",3,,0,5
HlfeTND7PATNVduJ_35lA,,0,"Literally, Crappy",2,2
HlfeTND7PATNVduJ_35lA,"Former, Good, Option",3,"Disobey, Clash",2,4
HlfeTND7PATNVduJ_35lA,"Good, Smile, Choice",3,"Dame, Tampent",2,3
HlfeTND7PATNVduJ_35lA,,0,"Overload, Renovate, Stain",3,1
2GoA-3SG9SnDmPi2MnxhaA,"Goodied, Clever, Gorgeous, Lucky",4,Crowd,1,4
2GoA-3SG9SnDmPi2MnxhaA,,0,CLosed,1,1
2GoA-3SG9SnDmPi2MnxhaA,"Gracious, Helpful, Useful, Beautiful",4,,0,5
2GoA-3SG9SnDmPi2MnxhaA,"Fabulous, Cheapest, Queue",3,Quickly,1,3
2GoA-3SG9SnDmPi2MnxhaA,"Phlethora, Courteous, Excellent",3,,0,5
5bwIr6lySrlr2fUQJEoqkg,"Antique, Phlethora, Vintage, National",4,,0,5
5bwIr6lySrlr2fUQJEoqkg,"Frame, Looks, Super, Funny",4,Uproar,1,4
5bwIr6lySrlr2fUQJEoqkg,"Brilliant, Cool, Artwork",3,,0,5
5bwIr6lySrlr2fUQJEoqkg,"Awesome, Concieve, Accessible",3,,0,5
5bwIr6lySrlr2fUQJEoqkg,,0,"Conceal, Sorry, Confuse",3,1
5bwIr6lySrlr2fUQJEoqkg,"Love, Thank",2,"Lack, Insufficient",2,2
9WnyLoPC_WzD25IPd4d7qA,Rich,1,,0,5
9WnyLoPC_WzD25IPd4d7qA,"Authentic, Reasonable",2,Noisy,1,3
DVbKDiQYEvCymocLGniz9w,,0,"Late, Fails, Disappoint",3,1
DVbKDiQYEvCymocLGniz9w,"Opinion, Confidence, Freshness",3,,0,5
DVbKDiQYEvCymocLGniz9w,,0,Reschedule,1,1
DVbKDiQYEvCymocLGniz9w,"Gratitude, Happy, Enjoy",3,Late,1,4
4BZwZrm3atfkDkc0gV3sCQ,"Authentic, Reasonable, Fresh, Favourable",4,Bland,1,4
4BZwZrm3atfkDkc0gV3sCQ,"Lovely, Nice, Well-Priced",3,Worn,1,4
5z5on8hPpFy16-thxyWUgQ,"Delicious, Wonderful, Lovely, Incredible",4,,0,5
5z5on8hPpFy16-thxyWUgQ,"Amazing, Good, Friendly, Nice",4,,0,5
5z5on8hPpFy16-thxyWUgQ,"Great, Expressive",2,,0,5
5z5on8hPpFy16-thxyWUgQ,"Goodies, Generous, Discipline",3,,0,5
5z5on8hPpFy16-thxyWUgQ,"Fresh, Amazing, Delicious",5,,0,5
F4yMdvY0VOOjzMUMJoQtdg,,0,Terrible,1,1
F4yMdvY0VOOjzMUMJoQtdg,,0,"Refuse, Disobey",2,1
F4yMdvY0VOOjzMUMJoQtdg,"Gentle, Friendly",2,Late,1,4
Aev0VbDs6LvcQiq_K8EIKw,Best,1,,0,5
Aev0VbDs6LvcQiq_K8EIKw,,0,"Childish, Dirty, Cancel, Unhygenic",4,1
Aev0VbDs6LvcQiq_K8EIKw,,0,"Under, Disgust",2,1
Aev0VbDs6LvcQiq_K8EIKw,"Perfectly, Good, Weather",3,,0,5
CVLggnyE7dBRiDUanmAC8g,"Best, Wonderful, Great",3,,0,5
CVLggnyE7dBRiDUanmAC8g,"Tasty, Great, Friendly",3,,0,5
CVLggnyE7dBRiDUanmAC8g,"Fantastic, Reasonably, Worth, Satisfaction",4,,0,5
8LcYXPdNQiR6gktTEx6uHQ,"Well, Antique",2,,0,5
6DWFVwgm3d9jfBUOkJuANQ,Cheap,1,"Sad, Dump",2,2
6DWFVwgm3d9jfBUOkJuANQ,"Decent, Liked, Good, Nice",4,Late,1,4
6DWFVwgm3d9jfBUOkJuANQ,"Appreciate, Worthy, Favorite",3,Alternate,1,4
6DWFVwgm3d9jfBUOkJuANQ,"Loved, Worth, Amazing",3,,0,5
6DWFVwgm3d9jfBUOkJuANQ,"Friendly, Sweet",2,"Disorder, Time",2,3
6DWFVwgm3d9jfBUOkJuANQ,,0,Tasteless,1,1
6DWFVwgm3d9jfBUOkJuANQ,"Fresh, Nice, Useful",3,,0,5
6DWFVwgm3d9jfBUOkJuANQ,"Pretty, Good, Right",3,Closed,1,4
6DWFVwgm3d9jfBUOkJuANQ,"Decent, Great, Right",3,Sophisticated,1,4
6DWFVwgm3d9jfBUOkJuANQ,"Best, Genius, Delicious",3,,0,5
6DWFVwgm3d9jfBUOkJuANQ,"Favourite, Reasonably, Fresh",3,"Trained, Initiate",2,3
6c0lS8VP4EXyMefnJgvphg,"Helpful, Friendly, Healthy, Extra",4,,0,5
6c0lS8VP4EXyMefnJgvphg,"Love, Free, Guidance, Fulfil",4,Unfurnished,1,4
6c0lS8VP4EXyMefnJgvphg,"Free, Plenty, Trend",3,"Reckless, Misrably",2,3
6c0lS8VP4EXyMefnJgvphg,"Enjoy, Fresh, Friendly, Sweet",4,Weirdo,1,4
6c0lS8VP4EXyMefnJgvphg,"Nice, Heart, Well, Educated",4,,0,5
6c0lS8VP4EXyMefnJgvphg,"Happy, Luxary, Magnificent",3,"Expensive, Limited",2,3
6c0lS8VP4EXyMefnJgvphg,,0,"Expensive, Close, Sorry",3,2
3tLuGLcCiGv5qqqhawO3Tg,"Perfect, Comfort, Clean",3,"Unstable, Wrong",2,3
3tLuGLcCiGv5qqqhawO3Tg,"Honest, Okay, Saporific",3,"Torture, Unlucky",2,3
3tLuGLcCiGv5qqqhawO3Tg,"Offer, Special, Perfect, Better",4,Fedup,1,4
7hEKJdqDqL6TdVYoPqFSZQ,"Good, Well, Gift, Better",4,,0,5
7hEKJdqDqL6TdVYoPqFSZQ,"Include, Laughter, Mindful",3,"Unpopular, Torn",2,3
7hEKJdqDqL6TdVYoPqFSZQ,"Lightful, Develop, Elegance",5,,0,5
7hEKJdqDqL6TdVYoPqFSZQ,,0,"Obesity, Fat",2,1
7hEKJdqDqL6TdVYoPqFSZQ,"Goodwill, Laugh, Jackpot",3,"Horrible, Junk",2,3
7hEKJdqDqL6TdVYoPqFSZQ,,0,"Fat, Suspicion, Swollen",3,1
7p2RbpFkWeFoLKoNPvxvzQ,,0,"Outrageous, Rip off",2,1
7p2RbpFkWeFoLKoNPvxvzQ,,0,"Impassive, Expensive",2,1
2bgRBwbTD1uPOpM7W6290A,"Awesome, Proper, Useful",3,,0,5
2bgRBwbTD1uPOpM7W6290A,"Comfort, Amazing, Clean",3,,0,5
2bgRBwbTD1uPOpM7W6290A,"Best, Great, Lovely, Good",4,,0,5
2bgRBwbTD1uPOpM7W6290A,"Advance, Bold, Complement",3,,0,5
3xJ84rKp_xU-NuM0u8LnRw,Authentic,1,"Overprice, Greasy, Junk",3,2
3xJ84rKp_xU-NuM0u8LnRw,,0,"Embarresed, Disappoint, Sorry",3,1
3xJ84rKp_xU-NuM0u8LnRw,"Sweet, More,  Quality",1,"Doughy, Hard, Disappoint",3,2
3xJ84rKp_xU-NuM0u8LnRw,"Pleased, Perfect, Good",3,"Abuse, Complex",2,3
3xJ84rKp_xU-NuM0u8LnRw,"Omnipresent, Generous, Impressive ",3,,0,5
3xJ84rKp_xU-NuM0u8LnRw,"Delicious, Good",2,Lethargic,2,3
3xJ84rKp_xU-NuM0u8LnRw,,0,"Greasy, Wrong, Dishonest",3,1
3xJ84rKp_xU-NuM0u8LnRw,"Nice, Attentive, Mannered",3,,0,5
3xJ84rKp_xU-NuM0u8LnRw,"Cheerful, Tasty, Fairly",3,Busy,1,4
3xJ84rKp_xU-NuM0u8LnRw,"Delicious, Charm, Plesant",3,Lowlight,1,3
3xJ84rKp_xU-NuM0u8LnRw,Tasty,1,Mass,1,3
3xJ84rKp_xU-NuM0u8LnRw,"Perfect, Enjoy, Special",3,Late,1,4
3xJ84rKp_xU-NuM0u8LnRw,Goodness,1,"Fatty, Bad, Poor",3,2
6IadUU3kr46yAbTKtWvQag,Chocolaty,1,"Tough, Suffocating, Nervous",2,2
6IadUU3kr46yAbTKtWvQag,Great,1,"Understaff, Expensive",2,3
6IadUU3kr46yAbTKtWvQag,"Friendly, Scenary",2,Stinky,1,3
6IadUU3kr46yAbTKtWvQag,"Authentic, Scent, Tasty",3,Dim,1,4
6IadUU3kr46yAbTKtWvQag,"Conveinence, Original, Decoration",3,Pessimist,1,4
4vyBv1GY1n3hCZl7yd02og,"Offer, Helpful, Welcome, Friendly",4,,0,5
4vyBv1GY1n3hCZl7yd02og,"Excellent, Impress",2,,0,5
4vyBv1GY1n3hCZl7yd02og,,0,Closed,1,1
KnlnH_Y5M7hsyinYj18HOQ,"Professional, Loved, Amazing, Lucky",4,,0,5
KnlnH_Y5M7hsyinYj18HOQ,"Nice, Luck, Excellent",3,,0,5
KnlnH_Y5M7hsyinYj18HOQ,,0,"Cancel, Black",2,1
KnlnH_Y5M7hsyinYj18HOQ,"Great, Easier, Worthy, Look",4,,0,5
6Ege_N9uJ-rtKIs1TNA8aQ,"Convienent, Right",2,"Block, Negative",2,3
6Ege_N9uJ-rtKIs1TNA8aQ,,0,"Worst, Disorder",2,1
6Ege_N9uJ-rtKIs1TNA8aQ,,0,"Hair, Horrible",2,1
6Ege_N9uJ-rtKIs1TNA8aQ,"Delicious, Sweet, Good",3,"Bad, Unorganised",2,3
6Ege_N9uJ-rtKIs1TNA8aQ,"Friendly, Convienence, Decent",3,"Disappointing, Dirty",2,3
6Ege_N9uJ-rtKIs1TNA8aQ,"Tempting, Polite, Wonderful, Fairly",4,Mild,1,4
6Ege_N9uJ-rtKIs1TNA8aQ,,0,Tasteless,1,1
6Ege_N9uJ-rtKIs1TNA8aQ,,0,"Excuse, Terrible, Dumbest",3,1
6Ege_N9uJ-rtKIs1TNA8aQ,"Clean, Good",2,,0,5
6Ege_N9uJ-rtKIs1TNA8aQ,,0,"Worst, Missing",2,1
6Ege_N9uJ-rtKIs1TNA8aQ,,0,"Reckless, Misrably",2,1
0XXLP24RXJxQ_yemvKcPiA,"Beautiful, Great, Aware, Pictures",4,,0,5
0XXLP24RXJxQ_yemvKcPiA,"Better, Experience, Candid",3,,0,5
0XXLP24RXJxQ_yemvKcPiA,"Romantic, Passion, Nice",3,,0,5
HeBitSDRnCxoJl30NOKW5Q,"Nasty, Thankyou, Right, Relief",4,,0,5
HeBitSDRnCxoJl30NOKW5Q,"Beloved, Lucky, Polite",3,,0,5
HeBitSDRnCxoJl30NOKW5Q,,0,"Discontinue, Absent",2,1
1OuM0Rpt3rrq2BKRcoCmPA,"Pleasure, Comfortable, Well",3,,0,5
1OuM0Rpt3rrq2BKRcoCmPA,"Glad, Pleasant, Comfort",3,,0,5
1OuM0Rpt3rrq2BKRcoCmPA,,0,"False, Unaccounted, Useless",3,1
68CwkDaqDpW6E7WiZcHqrQ,"Awesome, Good, Incredible, Clean",4,,0,5
68CwkDaqDpW6E7WiZcHqrQ,"Decent, Friendly, Caring",3,Late,1,4
68CwkDaqDpW6E7WiZcHqrQ,"Desired, Decent, Friendly",3,"Late, Unfair",2,3
1dAQDErfIsRsQWAeuyn3Cw,,0,"Closed, Bad",2,1
1dAQDErfIsRsQWAeuyn3Cw,"Cute, Flavorful",2,,0,5
1dAQDErfIsRsQWAeuyn3Cw,"Tasty, Cute, Likes",3,,0,5
4aoXwVHoYMxOC-iwPm9A_g,"Modest, Good, Like",3,Annoy,1,4
4aoXwVHoYMxOC-iwPm9A_g,,0,"Dishonest, Wrong, Miserable",3,1
4aoXwVHoYMxOC-iwPm9A_g,"Beautiful, Great, Variety, Amazing",4,,0,5
5sUp6kl5qyRnA_0pRRAyqQ,"Good, Delightful, Honest, Tasty",4,Limit,1,4
5sUp6kl5qyRnA_0pRRAyqQ,,0,"Mess, Worst",2,1
5sUp6kl5qyRnA_0pRRAyqQ,,0,"Slow, Rude, Wrong, Yell, Remade",5,1
5sUp6kl5qyRnA_0pRRAyqQ,"Excellent, Friendly, Clean, Organised",4,,0,5
5sUp6kl5qyRnA_0pRRAyqQ,"Fine, Well, Free, Nice, Perfect",5,Simple,1,4
5sUp6kl5qyRnA_0pRRAyqQ,"Friendly, Quick, Good",3,,0,0
5sUp6kl5qyRnA_0pRRAyqQ,Good,1,"Random, Mess",2,2
5sUp6kl5qyRnA_0pRRAyqQ,"Regular, Nice",2,,0,4
5sUp6kl5qyRnA_0pRRAyqQ,"Friendly, Clean, Glam",3,,0,5
5sUp6kl5qyRnA_0pRRAyqQ,,0,"Awful, Dirty, Mess",3,1
5sUp6kl5qyRnA_0pRRAyqQ,"Good, Useful, Sweet",3,"Worse, Small",2,3
5sUp6kl5qyRnA_0pRRAyqQ,Proper. Friendly,2,"Unlucky, Late",2,3
4iTBSb1yMBM4ognO62Viog,"Advantage, Bless, Bloom, Cheer",4,,0,5
4iTBSb1yMBM4ognO62Viog,"Beautiful, Modern , Easy, Wow",4,,0,5
4iTBSb1yMBM4ognO62Viog,"Unique, Educational, Awesome,Enjoy",4,,0,5
6a4-SPP4QJbJuHoMhPKnVQ,"Sweet, More",2,"Irritate, Late",2,2
6a4-SPP4QJbJuHoMhPKnVQ,"Good, Decent, Modern",3,"Mess, Dirty",2,3
6a4-SPP4QJbJuHoMhPKnVQ,Regular,1,"Loss, Gap",2,2
6a4-SPP4QJbJuHoMhPKnVQ,"Clean, Unique",2,"Worse, Smell",2,3
6a4-SPP4QJbJuHoMhPKnVQ,"Modest, Good",2,"Dislike, Rare",3,2
6a4-SPP4QJbJuHoMhPKnVQ,"Dizzle, Glare, Amazing",3,"Bad, Unorganised",2,3
6a4-SPP4QJbJuHoMhPKnVQ,"Sweet, Light, Amazing, Extra",4,Disorder,1,4
6a4-SPP4QJbJuHoMhPKnVQ,"Honest, Okay, Tasty, Variety",4,"Late, Rotten",2,3
56832hA2kNtvtRzV7cjBXA,"Awesome, Good, Incredible, Clean",4,,0,5
56832hA2kNtvtRzV7cjBXA,"Right, Enjoy",3,"Tough, Nervous, Suffocating",2,3
0GU8aE3_W57Yohjc0orUEw,,0,"Embarresed, Disappoint, Sorry",4,1
0GU8aE3_W57Yohjc0orUEw,"Like, Bloom, Knowledge",3,Mess,1,4
0GU8aE3_W57Yohjc0orUEw,,0,"Worst, Late, Dirty, Miserable",4,1
7EPxeZDPHWudd6l8oR3J3Q,,0,"Imprudent, Rude",2,1
7EPxeZDPHWudd6l8oR3J3Q,"Good, Manner, Decent, Efficient",4,DimLight,1,4
7EPxeZDPHWudd6l8oR3J3Q,"Excellent, Perfect , Fact, Great",4,DimLight,1,4
07AP_aqb2ygBfYJY-h4jKw,"Fun, Nice, Great, Worthy",4,Less,1,4
07AP_aqb2ygBfYJY-h4jKw,"Fabulous, Great, Classy, Worth",4,,0,5
07AP_aqb2ygBfYJY-h4jKw,"Hot, Cute, Reasonable, Super",4,,0,5
07AP_aqb2ygBfYJY-h4jKw,"Like, Kindness, Love",3,Closed,1,4
07AP_aqb2ygBfYJY-h4jKw,"Love, Greatest, Newest",3,,0,5
lJFBgSAccsMGwIjfD7LMeQ,"Better, Pretty",2,"Worst, Regardless, Mess",3,2
lJFBgSAccsMGwIjfD7LMeQ,"Special, Great, Amazing",3,,0,4
lJFBgSAccsMGwIjfD7LMeQ,,0,"Dead, Loud, Rare, Worst",4,1
lJFBgSAccsMGwIjfD7LMeQ,"Good, Pretty, Great, Understanable",4,"Bad, Unorganised",2,3
lJFBgSAccsMGwIjfD7LMeQ,"Great, Good, Amazing, Tasty",4,Dead,1,4
lJFBgSAccsMGwIjfD7LMeQ,"Incredible, Clean, Light",3,"Loud, Immodest",2,3
6KL0lRKtgTof-NoFuiXwdA,"Awesome, Good, Buddy",3,,0,5
6KL0lRKtgTof-NoFuiXwdA,"Hilarious, Happy, Buddy, Best",4,Dimlight,1,4
6KL0lRKtgTof-NoFuiXwdA,"Best, Good, Worth",3,,0,5
6KL0lRKtgTof-NoFuiXwdA,"Good, Friend, Best, Awesome",4,Bad,1,4
6KL0lRKtgTof-NoFuiXwdA,"Special, Okay",2,Pricey,1,3
6KL0lRKtgTof-NoFuiXwdA,"Better, Amazing, Wow, Lovely",4,,0,5
6KL0lRKtgTof-NoFuiXwdA,"Graet, Good, Luckily, Easily",4,,0,5
6KL0lRKtgTof-NoFuiXwdA,"Definite, Generous, Great",3,Intimate,1,4
6KL0lRKtgTof-NoFuiXwdA,"Best, Hillarious, Invite,comedy",4,,0,5
6KL0lRKtgTof-NoFuiXwdA,"Family, Best, Easy",3,Bad,1,4
6KL0lRKtgTof-NoFuiXwdA,"Prime, Enjoy, Awesome, Great",4,Pain,1,4
6KL0lRKtgTof-NoFuiXwdA,"Immediately, Movable, Peer",3,,0,5
6KL0lRKtgTof-NoFuiXwdA,"Original, Philantrophy, Purify",3,Toxic,1,4
HbZxMems5cEO8J1fBsw-sg,"Lesson, Mother, Perfection, Life",4,,0,5
HbZxMems5cEO8J1fBsw-sg,Sweet,1,"Tease, Spear, Poison",3,2
HbZxMems5cEO8J1fBsw-sg,"Healthy, Enjoy, Good, Easy",4,,0,5
HbZxMems5cEO8J1fBsw-sg,,0,"Stupid, Luantic, Tasteless",3,1
HbZxMems5cEO8J1fBsw-sg,"Luck, Best, Laugh",3,Poor,1,4
HbZxMems5cEO8J1fBsw-sg,"Friendly, GOOD, awesome, Perfect",4,,1,4
HbZxMems5cEO8J1fBsw-sg,"Leisure, Mindful, Honest",3,,0,5
HbZxMems5cEO8J1fBsw-sg,"Morality, Tasty, Amazing",3,Dimlight,1,4
HbZxMems5cEO8J1fBsw-sg,"Best, Perfect, Sweet, Clean",4,Unorganised,0,5
HbZxMems5cEO8J1fBsw-sg,"Modest, Tasty",2,,0,5
HbZxMems5cEO8J1fBsw-sg,,0,"Thief, Mess, Problem, Out",4,1
HbZxMems5cEO8J1fBsw-sg,"Good, Clean",2,"Pricey, Bad",2,2
2vkPcB28rcaX3BgJEGzjyw,"Polite, Safely, Thankyou",3,,0,5
2vkPcB28rcaX3BgJEGzjyw,"Reserve, Easy, Efficient, Friendly",4,,0,5
2vkPcB28rcaX3BgJEGzjyw,"Friendly, Help, Courteous",3,,0,5
